cluster_id,label,article_count,description,maps_to_conventional
161,Technocratic and Bureaucratic Framing,4,"Narrow technical focus on infrastructure or logistics without political or ethical context, diverging from all other clusters",
139,Propaganda and Digital Reality Manipulation,3,"Analyzes Iran's state media as a manipulative force using AI and digital tools to distort reality, while external fact-checkers serve as counterweights.",
146,Olympic Truce and Unity Amid Geopolitical Tensions,3,"Articles use Olympic Truce frameworks or focus on unity initiatives to transcend political divisions, often highlighting contested participation or humanitarian solidarity",
162,US Military Procedural Legitimacy,3,"Articles analyze U.S. military actions through procedural accountability, emphasizing investigations, accidental casualties, or neutral investigative roles while downplaying consequences or propaganda",
169,Disjointed or Incoherent Framing,2,"Articles present fragmented or unrelated content with minimal coherent analysis of U.S.-Israel-Iran dynamics, often mixing domestic and international updates without clear thematic focus.",
170,Justifying Preemptive Military/Cyber Actions,2,"Framing Iran's escalatory moves (e.g., appointing terrorism-linked generals) or Israel's covert operations as legitimate reasons for preemptive strikes.",
150,Critiquing or Questioning US Presence in the Gulf,2,"Articles challenge the legitimacy of US military involvement in the region, framing it as colonial, destabilizing, or self-serving. Often contrasts US actions with Gulf states' interests or Iran's pot",
149,Satirical Critique of Pro-Israeli/US Narratives,2,"Articles use humor or absurdity to undermine US-Israeli positions or their critics, exposing contradictions or farcical elements in political claims",
155,External Actors' Role in Escalation,2,"Articles position Russia, China, or European nations as covertly escalating tensions through intelligence, economic support, or diplomatic rejection of U.S.-Israel actions, framing their involvement a",
214,Singleton: 山本、見せた力強さ　無念の三回途中降板―ＷＢＣ,1,"Discusses Japan's WBC team logistics without linking to geopolitical tensions, making it thematically isolated.",
215,Singleton: 世界初のiPS製品承認で企業会見、研究者は「終着点にはほど遠い」,1,"Focuses on medical breakthroughs in Parkinson's treatment, with no reference to military or geopolitical contexts.",
216,Singleton: Media ‘missen’ voornaamste feiten van aanval tegen Iran,1,"Lacks content for analysis, rendering categorization impossible.",
217,Singleton: EN VIVO con El País | El Péndulo al Aire: Todo lo que debe s,1,"Briefly mentions the conflict without substantive analysis or framing, lacking distinct narrative logic.",
218,Singleton: قناة الانسان : 4- As for the male thief and the female thief,1,Serves as a navigational guide unrelated to the topic of U.S.-Israel-Iran military action.,
219,"Singleton: Angriff auf den Iran: Trump fordert ""bedingungslose Kapitula",1,"Examines Iran's internal internet policies as systemic oppression, diverging from external conflict framing.",
220,"Singleton: Ucraina, Zelensky nel Donetsk vicino al fronte: “I russi pre",1,"Frames Ukraine as resisting a multi-nation threat, unrelated to U.S.-Israel-Iran conflict.",
221,"Singleton: बीच रमजान भूखे-प्यासे की हत्या हुई, खामेनेई की मौत पर कांग्र",1,"Unrelated to the conflict topic, discussing Indian political transitions in Bihar instead",
222,"Singleton: LPG Price Hike: घरेलू रसोई गैस सिलेंडर के बढ़े दाम, 60 रुपये",1,Isolated reference to LPG price hikes in Delhi without contextual linkage to the conflict,
223,Singleton: ईरान पर बमबारी के बीच रूस की नई रणनीति?: विदेश मंत्री लावरोव,1,Promotes a news application for Hindi-language users without engaging with the conflict topic,
224,"Singleton: West Asia: 90 घंटे से बमबारी जारी, अबतक 1000+ मौतें, क्या शा",1,"Advocates for downloading a Hindi-language news app, entirely unrelated to the conflict",
225,Singleton: Call of Duty yayıncısından skandal teklif: Savaşı oyun yapal,1,"Discusses a video game's artistic integrity in relation to geopolitical agendas, with no direct conflict analysis",
226,Singleton: Casal da Grande SP retido em navio de cruzeiro em Dubai cons,1,"Centers corporate solutions (MSC Cruises) to a crisis caused by regional instability, avoiding political or military framing",
227,"Singleton: Iran, chi ha scommesso sul bombardamento incassando milioni:",1,"Uniquely combines speculative markets (crypto betting) with unverified leaks, lacking alignment with military, procedural, or political critique clusters.",
228,Singleton: مراهنات الموت في حرب إيران.. فضيحة أخلاقية وثغرة أمن قومي,1,"Centers on prediction markets as speculative commodities, a framing absent in other clusters focused on conflict, accountability, or economic critique.",
229,Singleton: مسی ترامپ را تشویق کرد!,1,"Uniquely combines sports celebrity complicity with military rhetoric, creating a hybrid moral accountability framework",
230,Singleton: राहुल गांधी का छात्रों से संवाद: कहा- भारत को बहुत सावधान रह,1,Focuses on India's internal governance failures rather than external military dynamics,
231,Singleton: राहुल गांधी का छात्रों से संवाद: कहा- भारत को बहुत सावधान रह,1,"Links India's geopolitical vulnerabilities to specific domestic policy failures (data outsourcing, RSS influence)",
232,"Singleton: ईरानी युद्धपोत पर हमला, ताजमहल देखने आगरा भी आया था नौसैनिको",1,"Simultaneously frames military action as neutral incident and cultural ties as positive, creating dissonant dual narrative",
233,"Singleton: Bareilly Weather: होली के बाद मौसम का चढ़ा पारा, रात में भी ",1,"Mentions 'West Asia Crisis' without contextualizing it as military action, resisting explicit framing",
234,Singleton: Греция осудила удар Ирана по Нахчывану,1,Focuses on Iran-Azerbaijan-Greece tensions rather than U.S.-Israel-Iran dynamics,
235,Singleton: Fundo da BlackRock limita saques após onda de resgates abala,1,Analyzes private credit sector instability unrelated to military conflicts,
236,"Singleton: ईरान-इजरायल युद्ध: कतर से भारत के लिए कई फ्लाइट कैंसिल, भारत",1,Focuses on Qatari-Indian airspace coordination as safety-focused technical operation,
237,"Singleton: 손흥민, 내일 댈러스 상대로 첫 필드골·리그 3연승 정조준",1,"Uses sports metaphors to legitimize force, blending political and athletic rhetoric",
238,Singleton: 名古屋の強盗殺人、32歳の女に無期懲役判決　貴金属7千万円超奪う,1,Legal case about premeditated murder unrelated to military dynamics,
239,Singleton: ネトフリ独占配信、現れた「WBC警察」　放映諦め、肩落とす居酒屋,1,Focuses on Netflix distribution conflicts unrelated to geopolitical tensions,
240,Singleton: 「過去帳」読み上げの後、須弥壇の周りで「走り」　東大寺・お水取り,1,Cultural/spiritual ritual framing entirely disconnected from military events,
241,Singleton: [오늘의 운세] 2026년 3월 7일 별자리 운세,1,Horoscope-based personal advice with no engagement with real-world events,
242,Singleton: “오타니 잡아라” 오늘 운명의 한일전… ‘10연패 탈출’ 특명,1,Sports rivalry between South Korea and Japan framed as national pride contest,
243,Singleton: श्रीलंकाई नौसेना ने दूसरे जहाज पर सवार 204 ईरानी नाविकों को ,1,"The article portrays the US sinking of an Iranian warship near Sri Lanka as a destabilizing event with strategic implications, while emphasizing Sri Lanka's neutral humanitarian role.",
244,Singleton: ईरान पर हमले को लेकर अमेरिका-स्पेन में ठनी: पीएम सांचेज बोले,1,The article positions an unnamed advocate as a peace leader opposing war while criticizing Spain's defiance of U.S. demands for military action against Iran.,
245,Singleton: Brasileira relata medo após ação de Israel no Líbano – Notic,1,"Uniquely emphasizes U.S.-Israel actions as catalysts for regional instability, with explicit focus on Brazilian perspectives and Trump's political influence in Iran, diverging from other clusters' the",
246,"Singleton: 잔나비 최정훈 스토킹 가해자 벌금 500만 원 확정… ""선처 없다""",1,"Irrelevant to the U.S.-Israel-Iran conflict, focusing instead on a corporate legal dispute in the entertainment industry.",
247,Singleton: フィンランド、核兵器持ち込み容認へ　脅威に対応、ロシア「脅し」と反発,1,"Focuses on Finland's NATO security posture against Russia, entirely disconnected from U.S.-Israel-Iran dynamics.",
172,Singleton: An Iranian woman adopted by a US military officer 50 years a,1,"Focuses exclusively on U.S. immigration policy and personal integration narratives, entirely unrelated to military conflict framing",
173,Singleton: How the Benedictine monks in Jerusalem are living the war,1,Centers on monastic spiritual practices and moral reflections without political or military context,
174,Singleton: Írán a united states v Ženevě pokračují v jednáních | Svět,1,Analyzes data-driven advertising ethics without connection to geopolitical conflict,
175,Singleton:  ( 影 ） 若美 「 有限 」 打擊伊 真主黨將不介入 ! 伊示威升溫 軍隊入校園鎮壓 | 國際,1,"No summary provided, making classification impossible",
176,Singleton: فلنتكاتف ضد العدوان الإمبريالي والصهيوني على إيران، من أجل ا,1,"No summary provided, preventing determination of framing logic",
177,Singleton: Iran: ईरानी युद्धपोत पर अमेरिकी हमले से पहले भारत ने तेहरान ,1,"Lacks substantive content on the topic, rendering it unclassifiable",
178,Singleton: O exílio dos atletas russos chegou ao fim,1,Discusses Paralympic athlete inclusion policies in a conflict-unrelated context,
179,Singleton: Ukraine-Krieg aktuell: Kiew zerstört russischen Hubschrauber,1,Focuses on Ukraine-Russia-Hungary tensions unrelated to US-Israel-Iran dynamics,
180,Singleton: Spain denies US claim of military cooperation on Iran,1,Focuses on Spain-US military base disputes unrelated to Iran conflict,
181,Singleton: Un Saski Baskonia en cuadro padece la tormenta de triples de,1,Briefly contextualizes a basketball game within war narratives without analytical depth,
182,"Singleton: Zapatero vende que ""el PSOE es el partido más leonesista por",1,Revives domestic Spanish political legacies unrelated to military conflict framing,
183,Singleton: La periodista colombiana Catalina Gómez Ángel gana el XIX Pr,1,Celebrates humanitarian journalism awards without conflict-specific framing,
184,"Singleton: Late Iranian supreme leader’s son, Mojtaba Khamenei, tipped ",1,"Focuses on Iran's political succession and economic ethics, unrelated to military conflict.",
185,Singleton: Cheikh Niang a présenté les condoléances du Sénégal à l’amba,1,"Focuses on Senegal-Iran diplomatic solidarity, unrelated to US-Israel-Iran framing.",
186,Singleton: Trump quitaría a Sánchez para poner a Puente,1,"Satirically frames Trump's political actions through personal history, unrelated to military conflict.",
187,"Singleton: Key, Iran ed energia: le tensioni globali sfidano la transiz",1,"Focuses on an energy transition fair as a response to global tensions, unrelated to military conflict.",
188,Singleton: JD Vance respinge scenariul unui conflict de durată : „ Nu e,1,Focuses on political statements and technical-strategic assessments without clear thematic alignment,
189,"Singleton: US, Russia close in on deal to extend New START nuclear arms",1,"Centers on US-Russia nuclear arms control negotiations, diverging from Iran-specific framing patterns.",
190,Singleton: US-Israel strikes on Iran trigger widening regional conflict,1,"The article positions the U.S.-Israel strikes as the spark for a region-wide conflict, framing retaliatory violence as inevitable and emphasizing the involvement of 'terrorist groups' to justify ongoi",
191,Singleton: U.S. sub sinks Iranian warship off Sri Lanka,1,"The article portrays the U.S. military action as a decisive and widening escalation against Iran, framed as a legitimate exercise of naval authority.",
192,Singleton: Wegen Iran-Krieg – Friedensstifter Trump droht US-Präsidente,1,"Satirical framing of Trump as a 'global enforcer' with hyperbolic contradictions, blending absurdity and political critique in a way that resists categorization with other clusters.",
193,Singleton: Ukraine-Krieg aktuell: Kiew zerstört russischen Hubschrauber,1,"Focuses on Ukraine-Russia dynamics and Hungary's interference, diverging entirely from the US-Israel-Iran conflict and its regional implications.",
194,Singleton: Iran: ईरानी युद्धपोत पर अमेरिकी हमले से पहले भारत ने तेहरान ,1,General news framing without engagement with the specific conflict,
195,Singleton: Iran: ईरानी युद्धपोत पर अमेरिकी हमले से पहले भारत ने तेहरान ,1,General Hindi-language news platform without contextual engagement,
196,Singleton: Iran: ईरानी युद्धपोत पर अमेरिकी हमले से पहले भारत ने तेहरान ,1,Call to action for news updates without analysis,
197,Singleton: ईरान-इजरायल-अमेरिका जंग में क्या भारत को घसीटने की कोशिश की ,1,Denies military coordination claims without engaging in broader framing,
198,"Singleton: US-इजरायल से जंग के बीच भारत के पड़ोस में डूबा ईरानी वॉरशिप,",1,Presents Sri Lanka's military as neutral humanitarian actor unrelated to regional tensions,
199,Singleton: قدرتمندترین موشک بالستیک در جهان/ فناوری MIRV چیست؟ / کدام ک,1,"Articles focus exclusively on advanced military systems (e.g., RS-28 Sarmat missile) as symbols of strategic balance and technological superiority in global power dynamics.",
200,Singleton: علي الجلولي : العراق ومعضلة التدخل الأمريكي والتسلط الاقليمي,1,"Articles depict the US as the unchallenged authority in regional politics, dismissing local governance structures as mere extensions of foreign influence.",
201,Singleton: مسی ترامپ را برای کشتن کودکان ایرانی تشویق کرد!,1,"Uniquely combines military action with celebrity criticism (Messi), creating a hybrid political-cultural framing absent in other clusters",
202,Singleton: ईरान युद्ध को रोकने के लिए लाया गया बिल अमेरिकी सीनेट में ना,1,"Focuses on U.S. congressional oversight and War Powers Resolution, bypassing direct conflict framing",
203,Singleton: Dingos provocaram a morte de turista em praia na Austrália,1,"Pivots entirely to an unrelated ecological incident (dingo aggression), with no geopolitical context",
204,Singleton: CGTP manifesta-se em pela igualdade entre mulheres e homens,1,"Centers on labor rights protests in Brazil, unrelated to the US-Israel-Iran conflict",
205,Singleton: 新種クリオネ、和名は「ニホンハダカカメガイ」　丸っこい体形が特徴,1,"Pivots entirely to marine biology (Nihonhadaka-kagai), with no geopolitical context",
206,Singleton: 日本でも「女性の休日」を　ジェンダー平等めざすアクション、各地で,1,"Focuses on Japan's Women's Holiday as a gender equality movement, unrelated to the conflict",
207,Singleton: Трамп назвал единственный приемлемый исход конфликта с Ирано,1,"No summary available, preventing classification",
208,Singleton: 阪神課題の「6番・遊撃手」　小幡竜平が新外国人加入に思ったこと,1,"Discusses a sports team's strategic adjustments, unrelated to the conflict",
209,Singleton: 「食べログ」側の勝訴確定　焼き肉チェーン側上告退ける―最高裁,1,"Analyzes a legal dispute over algorithmic practices, unrelated to the conflict",
210,Singleton: プロ野球選手がもだえ苦しむ花粉症の重症化　「ドーピングに抵触しない薬を認めて」悲痛な訴え,1,"Focuses on pollen allergies in baseball, unrelated to the conflict",
211,Singleton: “교육이 카르텔의 세습 사다리인가…범죄 혐의 강사 퇴출해야”[교육in],1,"Focuses on private education corruption and systemic reform, entirely unrelated to the military conflict topic.",
212,Singleton: [김정유의 웹툰파헤치기]'찐득'한 어른들의 로맨스…'너를 속이는 밤',1,"Analyzes Webtoon market success through creative innovation, with no connection to geopolitical or military themes.",
213,Singleton: “萌鸟”红头长尾山雀再现华南国家植物园,1,"Celebrates wildlife photography of red-headed long-tailed tits, entirely apolitical and unrelated to military action.",
