label,original_language,n
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Bengali,1
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Swedish,1
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Dutch,1
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Catalan,1
Economic Isolation and Refugee Support,English,15
Economic Isolation and Refugee Support,Russian,2
Economic Isolation and Refugee Support,Croatian,1
Economic Isolation and Refugee Support,Korean,1
Economic Isolation and Refugee Support,German,1
Economic Isolation and Refugee Support,Japanese,1
Economic Isolation and Refugee Support,Spanish,1
Economic Isolation and Refugee Support,Chinese,1
Geopolitical and Economic Impact Analysis,English,97
Geopolitical and Economic Impact Analysis,Turkish,28
Geopolitical and Economic Impact Analysis,Chinese,15
Geopolitical and Economic Impact Analysis,Korean,9
Geopolitical and Economic Impact Analysis,Russian,3
Geopolitical and Economic Impact Analysis,Ukrainian,2
Geopolitical and Economic Impact Analysis,Polish,2
Geopolitical and Economic Impact Analysis,French,2
Geopolitical and Economic Impact Analysis,Portuguese,1
Geopolitical and Economic Impact Analysis,Arabic,1
Geopolitical and Economic Impact Analysis,Serbian,1
Geopolitical and Economic Impact Analysis,Indonesian,1
Geopolitical and Economic Impact Analysis,Bosnian,1
Geopolitical and Economic Impact Analysis,Spanish,1
Geopolitical and Economic Impact Analysis,Bulgarian,1
Geopolitical and Economic Impact Analysis,Lithuanian,1
Geopolitical and Economic Impact Analysis,Slovenian,1
Geopolitical and Economic Impact Analysis,Japanese,1
Humanitarian Crisis and Moral Responsibility,English,89
Humanitarian Crisis and Moral Responsibility,Polish,19
Humanitarian Crisis and Moral Responsibility,German,13
Humanitarian Crisis and Moral Responsibility,Turkish,12
Humanitarian Crisis and Moral Responsibility,Spanish,11
Humanitarian Crisis and Moral Responsibility,Romanian,10
Humanitarian Crisis and Moral Responsibility,Ukrainian,8
Humanitarian Crisis and Moral Responsibility,French,7
Humanitarian Crisis and Moral Responsibility,Croatian,6
Humanitarian Crisis and Moral Responsibility,Arabic,6
Humanitarian Crisis and Moral Responsibility,Slovak,6
Humanitarian Crisis and Moral Responsibility,Portuguese,6
Humanitarian Crisis and Moral Responsibility,Russian,5
Humanitarian Crisis and Moral Responsibility,Korean,4
Humanitarian Crisis and Moral Responsibility,Chinese,3
Humanitarian Crisis and Moral Responsibility,Greek,3
Humanitarian Crisis and Moral Responsibility,Slovenian,3
Humanitarian Crisis and Moral Responsibility,Catalan,2
Humanitarian Crisis and Moral Responsibility,Norwegian,1
Humanitarian Crisis and Moral Responsibility,Dutch,1
Humanitarian Crisis and Moral Responsibility,Bulgarian,1
Humanitarian Crisis and Moral Responsibility,Japanese,1
Humanitarian Crisis and Moral Responsibility,Italian,1
Humanitarian Crisis and Moral Responsibility,Macedonian,1
Humanitarian Crisis and Moral Responsibility,Serbian,1
Humanitarian Crisis and Moral Responsibility,Estonian,1
Institutional Critique and Neutral Documentation,English,4
Institutional Critique and Neutral Documentation,Turkish,4
Institutional Critique and Neutral Documentation,German,2
Institutional Critique and Neutral Documentation,Romanian,2
Institutional Critique and Neutral Documentation,Chinese,2
Institutional Critique and Neutral Documentation,Ukrainian,1
Institutional Critique and Neutral Documentation,Polish,1
Institutional Critique and Neutral Documentation,Portuguese,1
Institutional Critique and Neutral Documentation,French,1
Institutional Critique and Neutral Documentation,Catalan,1
Institutional Critique and Neutral Documentation,Greek,1
Institutional Critique and Neutral Documentation,Indonesian,1
Russian 'Special Military Operation' Justification,Russian,74
Russian 'Special Military Operation' Justification,English,41
Russian 'Special Military Operation' Justification,Turkish,26
Russian 'Special Military Operation' Justification,Spanish,22
Russian 'Special Military Operation' Justification,Chinese,18
Russian 'Special Military Operation' Justification,Ukrainian,7
Russian 'Special Military Operation' Justification,Polish,6
Russian 'Special Military Operation' Justification,Korean,6
Russian 'Special Military Operation' Justification,Arabic,4
Russian 'Special Military Operation' Justification,German,4
Russian 'Special Military Operation' Justification,French,3
Russian 'Special Military Operation' Justification,Japanese,2
Russian 'Special Military Operation' Justification,Hebrew,2
Russian 'Special Military Operation' Justification,Greek,2
Russian 'Special Military Operation' Justification,Serbian,2
Russian 'Special Military Operation' Justification,Romanian,2
Russian 'Special Military Operation' Justification,Indonesian,2
Russian 'Special Military Operation' Justification,Bulgarian,1
Russian 'Special Military Operation' Justification,Slovak,1
Russian 'Special Military Operation' Justification,Norwegian,1
Russian 'Special Military Operation' Justification,Urdu,1
Russian 'Special Military Operation' Justification,Croatian,1
Russian Strategic Justification and Historical Context,English,10
Russian Strategic Justification and Historical Context,Russian,9
Russian Strategic Justification and Historical Context,Turkish,7
Russian Strategic Justification and Historical Context,Indonesian,5
Russian Strategic Justification and Historical Context,Chinese,4
Russian Strategic Justification and Historical Context,Greek,3
Russian Strategic Justification and Historical Context,French,3
Russian Strategic Justification and Historical Context,Czech,2
Russian Strategic Justification and Historical Context,Korean,2
Russian Strategic Justification and Historical Context,Ukrainian,2
Russian Strategic Justification and Historical Context,Arabic,2
Russian Strategic Justification and Historical Context,Polish,1
Russian Strategic Justification and Historical Context,Bulgarian,1
Ukrainian Military Resistance and Defensive Operations,English,22
Ukrainian Military Resistance and Defensive Operations,Portuguese,4
Ukrainian Military Resistance and Defensive Operations,French,4
Ukrainian Military Resistance and Defensive Operations,Chinese,3
Ukrainian Military Resistance and Defensive Operations,Polish,3
Ukrainian Military Resistance and Defensive Operations,Ukrainian,2
Ukrainian Military Resistance and Defensive Operations,Serbian,2
Ukrainian Military Resistance and Defensive Operations,Thai,2
Ukrainian Military Resistance and Defensive Operations,Bulgarian,1
Ukrainian Military Resistance and Defensive Operations,Turkish,1
Ukrainian Military Resistance and Defensive Operations,Hebrew,1
Ukrainian Military Resistance and Defensive Operations,Korean,1
Ukrainian Military Resistance and Defensive Operations,Bengali,1
Ukrainian Military Resistance and Defensive Operations,Lithuanian,1
Ukrainian Military Resistance and Defensive Operations,Danish,1
Ukrainian Military Resistance and Defensive Operations,Spanish,1
Ukrainian Military Resistance and Defensive Operations,Japanese,1
Ukrainian Military Resistance and Defensive Operations,Latvian,1
Unrelated or Disengaged Framing,Chinese,8
Unrelated or Disengaged Framing,Korean,4
Unrelated or Disengaged Framing,English,3
Unrelated or Disengaged Framing,Spanish,3
Unrelated or Disengaged Framing,German,2
Unrelated or Disengaged Framing,Serbian,1
Unrelated or Disengaged Framing,Indonesian,1
Unrelated or Disengaged Framing,Italian,1
Unrelated or Disengaged Framing,Portuguese,1
Unrelated or Disengaged Framing,Russian,1
Unrelated or Disengaged Framing,Turkish,1
Unrelated or Disengaged Framing,Thai,1
Western/EU-Centric Opposition and Coalition-Building,Turkish,46
Western/EU-Centric Opposition and Coalition-Building,English,34
Western/EU-Centric Opposition and Coalition-Building,Ukrainian,30
Western/EU-Centric Opposition and Coalition-Building,Chinese,19
Western/EU-Centric Opposition and Coalition-Building,Russian,13
Western/EU-Centric Opposition and Coalition-Building,French,10
Western/EU-Centric Opposition and Coalition-Building,Lithuanian,9
Western/EU-Centric Opposition and Coalition-Building,Korean,8
Western/EU-Centric Opposition and Coalition-Building,Polish,7
Western/EU-Centric Opposition and Coalition-Building,Serbian,4
Western/EU-Centric Opposition and Coalition-Building,Portuguese,4
Western/EU-Centric Opposition and Coalition-Building,Greek,3
Western/EU-Centric Opposition and Coalition-Building,German,2
Western/EU-Centric Opposition and Coalition-Building,Albanian,2
Western/EU-Centric Opposition and Coalition-Building,Bosnian,2
Western/EU-Centric Opposition and Coalition-Building,Romanian,2
Western/EU-Centric Opposition and Coalition-Building,Indonesian,1
Western/EU-Centric Opposition and Coalition-Building,Urdu,1
Western/EU-Centric Opposition and Coalition-Building,Spanish,1
Western/EU-Centric Opposition and Coalition-Building,Bulgarian,1
Western/EU-Centric Opposition and Coalition-Building,Hebrew,1
Western/EU-Centric Opposition and Coalition-Building,Arabic,1
Western/EU-Centric Opposition and Coalition-Building,Japanese,1
Western Military and Diplomatic Response,English,22
Western Military and Diplomatic Response,Turkish,14
Western Military and Diplomatic Response,French,4
Western Military and Diplomatic Response,Ukrainian,3
Western Military and Diplomatic Response,Chinese,3
Western Military and Diplomatic Response,Romanian,3
Western Military and Diplomatic Response,Czech,2
Western Military and Diplomatic Response,Russian,2
Western Military and Diplomatic Response,Japanese,2
Western Military and Diplomatic Response,Korean,2
Western Military and Diplomatic Response,Arabic,2
Western Military and Diplomatic Response,Dutch,1
Western Military and Diplomatic Response,Bosnian,1
Western Military and Diplomatic Response,Bengali,1
Western Military and Diplomatic Response,Greek,1
