cluster_id,label,article_count,description,maps_to_conventional
43,Non-Western Geopolitical Narratives,19,"Positions non-Western actors (India, Turkey, Global South) as prioritizing autonomy, balancing relations, and rejecting Western-led frameworks. Emphasizes strategic independence and regional prioritie",
59,Critique of Western Hypocrisy and Historical Narratives,10,"Questions Western consistency in sovereignty claims, links invasion to historical denial of atrocities, or frames Ukraine's struggle as resistance to racialized domination.",
58,Military-Strategic and Disinformation Analysis,10,"Analyzes military capabilities, defensive preparations, and digital countermeasures to Russian disinformation. Focuses on asymmetry in military power and technical responses.",
47,Leadership and Political Rhetoric,7,"Analyzes or critiques political figures (Zelensky, Trump, Putin) as central to the conflict’s narrative, emphasizing personal leadership styles, scandals, or rhetorical strategies.",
46,Mixed or Contradictory Framing of Russian Actions,6,"Combines contradictory narratives (justification vs. condemnation) without resolving tensions, reflecting informational ambiguity rather than a coherent cluster",
55,Western cultural/racial critique of the conflict,5,"Articles link the invasion to Western 'woke' policies, racial hierarchies, or imperialist distractions. Positions the war as exposing systemic racism or diverting attention from Ukrainian internal opp",
49,Diplomatic Solutions and Mediation Efforts,5,"Articles prioritizing high-level negotiations, third-party mediation, or de-escalation strategies, often sidelining military or economic framing. Includes proposals for non-aligned solutions or state-",
54,Regional Security and Policy Debates,5,"Articles focus on South Korea and Canada's domestic security, refugee policies, and military preparedness in response to the crisis.",
44,Domestic Political Instrumentalization,4,"Uses the invasion as a backdrop to advance domestic political narratives (e.g., election fraud, immigration) or critique local actors (e.g., Trump, ANC). Avoids direct engagement with the conflict its",
57,Domestic Dissent and Suppression of Anti-War Protests,4,"Articles focus on Russia's crackdown on anti-war dissent and Ukraine's resistance as insufficient. Frames internal dynamics (e.g., police repression, public sentiment) as central to the conflict.",
60,U.S.-Led Global Deterrence and Leadership,3,"Positions the U.S. as a moral or strategic leader urging allies to condemn Russian actions, often contrasting with destabilizing figures like Trump or Russian/Belarusian actors.",
52,Domestic Political Instrumentalization (2),3,"Uses the invasion as a backdrop to advance domestic political narratives (e.g., election fraud, immigration) or critique local actors (e.g., Trump, ANC).",
48,Critique of Western Sanctions and Economic Hypocrisy,3,"Articles argue Western sanctions are ineffective, hypocritical, or self-defeating, highlighting global power asymmetries.",
53,Ukrainian Sovereignty and Minsk Protocol Critique,2,"Argues that Putin’s attempts to subjugate Ukraine through the Minsk Protocol have failed, framing the conflict as a struggle for Ukrainian sovereignty.",
85,Singleton: Russia attacked Ukraine a week after foreign ministry joked ,1,No content provided for analysis.,
86,Singleton: Belarusian troops just crossed the border into Ukraine and h,1,"The article positions Belarus's participation in the invasion as a confirmed, absurd escalation, using Ukrainian authorities' statements and user comments to critique the aggressors' hypocrisy and leg",
87,Singleton: Zelensky urges Biden to say something ‘strong’ and ‘useful’ ,1,"The article positions Zelensky as a humble hero and Biden as the critical arbiter of a diplomatic resolution, framing the conflict as a test of global solidarity against Russian overreach.",
88,Singleton: 'Wars are won by people who show up': Foreign fighters head ,1,"The article prioritizes practical, qualified participation in Ukraine's war effort while cautioning against untrained foreign volunteers as counterproductive and dangerous.",
89,Singleton: Putin implies nuclear attack if West interferes in Ukraine. ,1,"Articles frame Putin's nuclear threats as a dangerous escalation that constrains Western action, prioritizing global stability over direct support for Ukraine.",
90,Singleton: Will the Ukraine invasion finally end the religious right’s ,1,"Uniquely frames the invasion as a moral reckoning for the religious right, exposing contradictions in their political alliances rather than addressing geopolitical or humanitarian dimensions directly.",
91,Singleton: Direktestudio : Russland invaderer Ukraina,1,"Lacks substantive content, making it impossible to categorize.",
92,Singleton: Direktestudio : Russland invaderer Ukraina,1,"Entirely unrelated to the invasion, focusing on Norway's editorial policies and legal disclaimers.",
93,Singleton: Positions of Different Countries on the Iraq War and Ukraine,1,"Compares Ukraine and Iraq conflicts as 'imperial wars,' diverging from direct analysis of the invasion to critique broader Western interventionist patterns.",
94,Singleton: ロシアがミサイル攻撃再開 ウクライナ大統領 | 中国新聞デジタル,1,"Lacks coherent framing of the geopolitical context, focusing instead on personal declarations",
95,Singleton: Direktestudio : Russland invaderer Ukraina,1,No content provided for analysis from Norway,
96,Singleton: Σύμβουλος Ουκρανού προέδρου : Δεχόμαστε δεύτερο κύμα επίθεση,1,The article presents the Russian invasion of Ukraine as a dramatic event requiring immediate and united international response through sanctions and diplomatic efforts.,
97,Singleton: Ukraine / Russie : la guerre peut - elle étendre ? ,1,"The article presents the Russian invasion of Ukraine as a strategic move by Vladimir Putin to restore a historical vision of a great Russia, raising concerns about potential escalation to a broader Eu",
98,"Singleton: Rusya , Ukraynada askeri operasyon başlatırken gözler tarafl",1,"Focuses exclusively on comparing military strengths of Russia and Ukraine, diverging from political or moral framing.",
99,Singleton: Ρωσία : Στόχος η « χούντα του Κιέβου » - Είστε « εγκληματίες,1,"The article reports on the Russian invasion of Ukraine as a targeted military operation against the 'junta in Kiev,' with international condemnation from Ukrainian and U.S. authorities.",
100,Singleton: Rusya – Ukrayna Savaşında Son Gelişmeler : Sosyal Medyada Ru,1,"Unrelated to the invasion, discussing Starlink's telecommunications innovations.",
101,Singleton: Russia Vetoes UN Resolution as China Abstains : Ukraine Upda,1,"Focuses on Middle East oil prices, unrelated to the Ukraine invasion.",
102,Singleton: Ultranacionalistas poloneses tentam atacar pessoas de origem,1,"Focuses on racial discrimination against African/Middle Eastern refugees in Ukraine, a framing unrelated to the invasion itself and absent from other clusters.",
103,Singleton: Kelemen Hunor :  Comunitatea internaţională să folosească to,1,"Unreadable/corrupted text prevents meaningful analysis, rendering it unclusterable.",
104,Singleton: ロシア軍がウクライナに侵攻 、 首都などで爆発音,1,"The article portrays Russia's invasion as a NATO-driven conflict requiring global accountability, while acknowledging Russia's defensive framing of its actions.",
105,Singleton: Mapa : veja de onde partiram os ataques da Rússia contra a U,1,"The article portrays the Russian invasion as a geographically widespread military operation with civilian casualties, framed through Ukrainian government actions and contested historical claims.",
106,Singleton: Editorial refugiats | No fallar encara més a Ucraïna,1,"The article holds Putin's expansionist policies and NATO's inaction responsible for Ukraine's crisis, urging Western nations to prioritize humanitarian aid over military intervention.",
107,"Singleton: Fransa Cumhurbaşkanı Macron :  Rusya , askeri operasyonların",1,"The article positions French President Macron as the authoritative voice demanding Russia's immediate cessation of military operations in Ukraine, framing the conflict as an unjustified war.",
108,"Singleton: Biden , Rus bankalarını ve ekonomisini hedef alan yaptırımla",1,"The article positions Putin as a rogue actor who unilaterally chose war through lies, justifying U.S. economic and military countermeasures as a proportional response to hold him accountable.",
109,Singleton: Russia - Ukraine,1,"The article positions the U.S. as the decisive actor in ending the Russia-Ukraine war through a mix of military aid, diplomacy, and preemptive nuclear deterrence.",
110,"Singleton: Russian Police Arrest More than 1 , 000 Anti - War Protestor",1,"Portrays Russia's invasion as a state-sanctioned response to perceived Ukrainian threats, legitimizing domestic crackdowns and framing international reactions as punitive or defensive.",
111,"Singleton:   On est tous choqués , même sil y a une guerre larvée",1,"Prioritizes France's unrelated Middle Eastern priorities and frames Ukraine's war injuries as a niche medical story, avoiding direct engagement with invasion dynamics.",
112,Singleton: Новини політики : Макрон передав Путіну прохання Зеленського,1,"Highlights Macron's diplomatic mediation between conflicting parties, blending elements of multiple clusters without aligning fully to any.",
113,Singleton: Russia rules out any threat to Ukrainian civilians during mi,1,"The article uniquely positions Russia's denial of civilian harm as credible, avoiding explicit political judgment while aligning with its military narrative.",
114,Singleton: Russia - Ukraine war : Damage to both sides so far,1,"The article emphasizes reciprocal escalation and mutual victimhood without taking political sides, focusing narrowly on immediate military and cyber impacts.",
115,Singleton: Biden Enjoys Weekend in Delaware Despite Russia - Ukraine Co,1,"The article critiques U.S. leadership (Biden) while simultaneously endorsing sanctions and military aid, creating a contradictory framing not shared by other U.S.-based articles.",
116,Singleton: Sean Penn krêci w Kijowie film dokumentalny . Mimo wojny,1,"Centers on Sean Penn's activism as a moral counterpoint to Western inaction, diverging from institutional or state-centric narratives.",
117,"Singleton: Le Danemark prêt à accueillir des réfugiés ukrainiens , décl",1,Reduced to technical error messages with no substantive content,
118,Singleton: 乌克兰下雪了吗 ？ 戏子总统释然一笑 - 未名空间 ( mitbbs . com ) ,1,"No summary provided, making categorization impossible",
119,Singleton: 突破边境到波兰的难民可能有数百万 ？ 美军第82空降师已经出手 ！ - 未名空间 ( mitbbs . com ) ,1,"Framed as an urgent, undefined crisis without context or specific solutions",
120,Singleton: 경제 제재만으로 러시아를 막기 힘든 이유,1,"Fragmented text with disjointed political/economic references, lacking coherent invasion framing",
121,Singleton: NATO zirvesinden Ukraynaya hava savunma sistemi ve silah yar,1,Encoding corruption prevents analysis,
122,"Singleton: Sem dar detalhes, autoridade diz que a maior usina nuclear d",1,"Narrowly focuses on technical nuclear vulnerabilities at Zaporizhzhia, avoiding broader invasion context",
123,Singleton: Understanding the war in Ukraine,1,"Positions itself as a specialized military theory alternative to mainstream media, diverging from institutional or moral framing",
124,Singleton: Новини світу : Макрон у розмові з Путіним закликав завершити,1,Highlights Macron-Putin diplomatic clash without aligning with broader pro/anti-Russia clusters.,
125,Singleton: Румен Радев : Смяната на министъра на отбраната в момента е ,1,"Critiques Bulgaria's domestic political failures while advocating for Ukraine, diverging from broader EU or NATO-aligned framing",
126,Singleton: Приехавших в Нижегородскую область школьников из Донбасса об,1,"Portrays Russia as both a humanitarian actor and aggressor in Donbas, creating a contradictory framing absent in other clusters.",
127,Singleton: Krótko z ruskim trollem,1,Uses trolling and vulgar rhetoric to legitimize Russian state-aligned actors while dismissing Western perspectives—a methodologically distinct approach to framing.,
128,Singleton: ВЗГЛЯД / Словакия выступила за смягчение антироссийских санк,1,"Slovakia advocates for a conditional approach to Russia—combining sanctions, NATO reinforcement, and potential dialogue—while avoiding Cold War-era divisions.",
71,Singleton: Zelensky Accuses Russian Forces Of Targeting Civilians,1,No summary available for analysis.,
61,Singleton: Women on Weibo call out men who said they wanted to take in ,1,"Uniquely frames the conflict as a moral test of societal values, focusing on gender dynamics (exploitation of women) while downplaying military/political dimensions.",
62,Singleton: NPR comforts its audience with suggestions on how to survive,1,"Rejects mainstream narratives by framing the invasion as an 'overhyped stressor,' criticizing media for infantilizing public anxiety.",
63,Singleton: 俄罗斯入侵第三天事态发展 俄罗斯从多个方向进攻基辅与美国和欧洲对普京实施制裁,1,"Fragmented, repetitive text with no coherent framing of the invasion, resisting categorization.",
64,"Singleton: Putin Ukrayna savaşını başlattı , Kievde patlama sesleri",1,"Shifts focus entirely to U.S.-Israel-Iran tensions, framing it as a 'holy war' unrelated to Ukraine.",
65,Singleton: 喜剧演员也许是普京的最严重失算,1,"Centrally frames Zelensky's leadership and potential capture as the narrative resolution, diverging from sovereignty or military themes.",
66,Singleton: 美国防官员 ： 俄罗斯正三个方向进攻乌克兰 目的是  斩首  乌政府 _ 东方财富网,1,"Avoids addressing the invasion entirely, presenting disjointed platform instructions",
67,Singleton: 乌总统 ： 俄集结20万大军下令入侵 恐爆发欧洲大战 - 未名空间 ( mitbbs . com ) ,1,Missing content prevents meaningful categorization,
68,"Singleton: Минздрав Украины сообщил , что в результате военных действий",1,Unreadable content prevents meaningful categorization.,
69,Singleton: جندي إسرائيلي يعلن استعداده للتطوع في « حرب أوكرانيا » ,1,"Moral call to action centered on the Ukrainian Embassy’s volunteer appeal and an Israeli soldier’s personal commitment, distinct in its localized advocacy framing.",
70,Singleton:  # UKRAINE Emmanuel Macron a pris la parole pendant quatre,1,"Discusses France’s unrelated military actions in the Middle East, entirely disconnected from the invasion context.",
72,Singleton: Putin tried to justify Ukraine war by calling for  de - Nazi,1,No substantive content provided for analysis.,
73,Singleton: Bomb strikes Turkish - owned ship in Black Sea ; no injuries,1,"Frames Turkey as a pivotal actor balancing support for Ukraine and ties to Russia, distinct from other clusters.",
74,"Singleton: Germany to supply Ukraine with 1 , 000 anti - tank weapons ,",1,"Germany's military equipment transfer to Ukraine is operational and logistical, lacking broader framing context.",
75,"Singleton:   러시아 민간화물선 2척 , 아조프해서 우크라 미사일에 피격  ",1,"Focuses narrowly on a specific tactical event (Ukrainian provocation in the Azov Sea) and frames Russia as a victim of unprovoked aggression, diverging from broader clusters that address systemic or h",
76,Singleton: ロシア軍 、 主要都市周辺に侵攻 チェルノブイリ職員人質か,1,"Framing the invasion as an unnamed, opaque actor's action without explicit attribution or context, resisting categorization.",
77,Singleton: 纽约市拥有15万乌克兰裔 民众集会支持乌克兰 （ 组图 ） - 未名空间 ( mitbbs . com ) ,1,"Lacks substantive content, making it impossible to associate with any framing pattern.",
78,Singleton: LIVE UPDATES : Ukraine Declares Martial Law,1,Reports a specific military event (aircraft neutralization) without broader narrative context or thematic alignment.,
79,"Singleton: 美  러 , 오늘 밤 우크라 침공 가능성 … 러 , 민항기 운항 금지",1,"The article positions U.S. intelligence warnings and separatist appeals to Putin as evidence of an impending Russian invasion, framing Ukrainian government forces as the primary target of aggression.",
80,Singleton: Russia invasion of Ukraine : What we know so far – POLITICO,1,"The article reports Russia’s escalation of military action in Ukraine, highlighting the targeting of civilian infrastructure as a central concern.",
81,"Singleton: 2 days before Putin invaded , Ukraine president said he thou",1,"The article positions the Russian invasion as a predictable, aggressive act by Putin, contrasting Western intelligence foresight with Ukraine's public unpreparedness despite covert military readiness.",
82,"Singleton:  [ 우크라 침공 ] 러 , 동 · 남 · 북 3면으로 공격 … 지상군 진입 ( 종합2보 ) : 네이트 뉴스",1,Incoherent and lacks meaningful analysis of the invasion.,
83,"Singleton: রাশিয়া - ইউক্রেন যুদ্ধ , সাধারণ মানুষের কী দোষ ? ",1,Does not discuss the invasion at all.,
84,Singleton: 英伟达正在调查一起潜在的网络攻击 称未发现与俄罗斯有关 _ 东方财富网,1,"Completely disengaged from the invasion, focusing on financial/technological concepts.",
